Area,Item Number,Quality,Style,Price,Applicance
Home Applicances,90462039,High,Modern,0.151376281,Oven
Home Applicances,10462038,High,Modern,0.633932845,Oven
Home Applicances,30209282,High,Modern,0.111411509,Oven
Home Applicances,50411730,High,Modern,0.031840275,Oven
Home Applicances,70421059,High,Modern,0.987010618,Oven
Home Applicances,70421083,High,Modern,0.720310847,Oven
Home Applicances,70416821,High,Modern,0.871395244,Oven
Home Applicances,00411718,High,Modern,0.474742248,Oven
Home Applicances,30413122,High,Traditional,0.328196568,Oven
Home Applicances,70411673,High,Traditional,0.001075148,Oven
Home Applicances,10209283,Medium,Modern,0.435987394,Oven
Home Applicances,20462033,Medium,Modern,0.594836541,Oven
Home Applicances,60411664,Medium,Modern,0.527726139,Oven
Home Applicances,70411729,Medium,Modern,0.619246848,Oven
Home Applicances,60411720,Medium,Modern,0.98926738,Oven
Home Applicances,10370208,Medium,Modern,0.492769757,Oven
Home Applicances,40411877,Medium,Traditional,0.136715867,Oven
Home Applicances,20411878,Medium,Traditional,0.224902538,Oven
Home Applicances,90411728,Medium,Traditional,0.057553763,Oven
Home Applicances,00411879,Medium,Traditional,0.325428376,Oven
Home Applicances,30411689,Medium,Traditional,0.634846889,Oven
Home Applicances,90370209,Medium,Traditional,0.413700006,Oven
Home Applicances,40368765,Low,Modern,0.358679604,Oven
Home Applicances,90547915,Low,Modern,0.56990449,Oven
Home Applicances,80411724,Low,Traditional,0.540635636,Oven
Home Applicances,00368767,Low,Traditional,0.456978898,Oven
Home Applicances,30411726,Low,Traditional,0.705702871,Oven
Home Applicances,90547963,BTI,Modern,0.436409965,Oven
